Year,Month,Day ,Reason
2015,7,18,Eid & Rathayatra sale 
2015,7,19,Eid & Rathayatra sale 
2015,8,15,Independence Sale
2015,8,16,Independence Sale
2015,8,17,Independence Sale
2015,8,28,Rakshabandhan Sale 
2015,8,29,Rakshabandhan Sale 
2015,8,30,Rakshabandhan Sale 
2015,10,15,Daussera sale
2015,10,16,Daussera sale
2015,10,17,Daussera sale
2015,11,7,Big Diwali Sale
2015,11,8,Big Diwali Sale
2015,11,9,Big Diwali Sale
2015,11,10,Big Diwali Sale
2015,11,11,Big Diwali Sale
2015,11,12,Big Diwali Sale
2015,11,13,Big Diwali Sale
2015,11,14,Big Diwali Sale
2015,12,25,Christmas & New Year Sale
2015,12,26,Christmas & New Year Sale
2015,12,27,Christmas & New Year Sale
2015,12,28,Christmas & New Year Sale
2015,12,29,Christmas & New Year Sale
2015,12,30,Christmas & New Year Sale
2015,12,31,Christmas & New Year Sale
2016,1,1,Christmas & New Year Sale
2016,1,2,Christmas & New Year Sale
2016,1,3,Christmas & New Year Sale
2015,1,20,Republic Day
2015,1,21,Republic Day
2015,1,22,Republic Day
2016,2,1,BED
2016,2,2,BED
2016,2,20,FHSD
2015,2,21,FHSD
2015,2,14,Valentine's Day
2015,2,15,Valentine's Day
2016,3,7,BSD-5
2016,3,8,BSD-5
2016,3,9,BSD-5
2015,5,25,Pacman
2015,5,26,Pacman
2015,5,27,Pacman